id,Country,Continent,fhs,gov,Capital,pnr,Topography,Climate,le,imr,pcod,GDPPC,cer,bmi,gdpg,ii,cpi,hioef,lr,Religions,Languages,Population
Bangladesh,Bangladesh,Asia,45/100 (2018),parliamentary republic,Dhaka,"natural gas, arable land, timber, coal",mostly flat alluvial plain; hilly in southeast,"tropical; mild winter (October to March); hot, humid summer (March to June); humid, warm rainy monsoon (June to October)",73.4 years(2017),"31.7 deaths/1,000 live births(2017)","1- Lung Disease, 2- Tuberculosis, 3- Influenza and Pneumonia, 4- Stroke, 5- Coronary Heart Disease (2017)","$4,200 2017 EST.",83.18 Taka to 1 U.S. Dollar (March 2018),No Data,7% (2017),32% (2010),26 and 145th/176 (2016),55.1 overall (2018),72.8% (2016),"Muslim 89.1%, Hindu 10%, other 0.9% (includes Buddhist, Christian) (2013 est.)","Bangla 98.8% (official, also known as Bengali), other 1.2% (2011 est.)","157,826,578 (July 2017)"
Burma,Burma,Asia,31/100 (2018),parliamentary republic,Rangoon (Yangon); note - Nay Pyi Taw is the administrative capital,"petroleum, timber, tin, antimony, zinc, copper, tungsten, lead, coal, marble, limestone, precious stones, natural gas, hydropower, arable land","central lowlands ringed by steep, rugged highlands","tropical monsoon; cloudy, rainy, hot, humid summers (southwest monsoon, June to September); less cloudy, scant rainfall, mild temperatures, lower humidity during winter (northeast monsoon, December to April)",68.2 years(2017),"35.8 deaths/1,000 live births(2017)",No Data,"$6,300 2017 EST.","1,338.60 Kyats to 1 U.S. Dollar (March 2018)",No Data,5% (2017),no data,28 and 136th/176 (2016),53.9 overall (2018),75.6% (2016),"Buddhist 87.9%, Christian 6.2%, Muslim 4.3%, Animist 0.8%, Hindu 0.5%, other 0.2%, none 0.1%. (2014 est.) note: religion estimate is based on the 2014 national census, including an estimate for the non-enumerated population of Rakhine State, which is assumed to mainly affiliate with the Islamic faith.","Burmese (official) note: minority ethnic groups have their own languages
","55,123,814  (July 2017)"
Nepal,Nepal,Asia,55/100 (2018),federal parliamentary republic,Kathmandu,"quartz, water, timber, hydropower, scenic beauty, small deposits of lignite, copper, cobalt, iron ore",Tarai or flat river plain of the Ganges in south; central hill region with rugged Himalayas in north,varies from cool summers and severe winters in north to subtropical summers and mild winters in south,71 years(2017),"27.9 deaths/1,000 live births(2017)","1- Lung Disease, 2- Coronary Heart Disease, 3- Stroke, 4- Influenza and Pneumonia, 5- Diabetes Mellitus (2017)","$2,700 2017 EST.",103.74 Nepalese Rupees to 1 U.S. Dollar (March 2018),No Data,5% (2017),32.8% (2010),29 and 131st/176 (2016),54.1 overall (2018),63.9% (2015),"Hindu 81.3%, Buddhist 9%, Muslim 4.4%, Kirant 3.1%, Christian 1.4%, other 0.5%, unspecified 0.2% (2011 est.)","Nepali (official) 44.6%, Maithali 11.7%, Bhojpuri 6%, Tharu 5.8%, Tamang 5.1%, Newar 3.2%, Magar 3%, Bajjika 3%, Urdu 2.6%, Avadhi 1.9%, Limbu 1.3%, Gurung 1.2%, other 10.4%, unspecified 0.2%. (2011). note: 123 languages reported as mother tongue in 2011 national census; many in government and business also speak English .","29,384,297 (July 2017)"
Philippines,Philippines,Asia,62/100 (2018),presidential republic,Manila,"timber, petroleum, nickel, cobalt, silver, gold, salt, copper",mostly mountains with narrow to extensive coastal lowlands,tropical marine; northeast monsoon (November to April); southwest monsoon (May to October),69.4 years(2017),"21.4 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Influenza and Pneumonia, 4- Diabetes Mellitus, 5- Tuberculosis (2017)","$8,200 2017 EST.",52.12 Philippine Pesos to 1 U.S. Dollar (March 2018),$2.64 vs $5.28 US,6.7% (2017),40.1% (2015),35 and 101st/176 (2016),65.0 overall (2018),96.3% (2015),"Catholic 82.9% (Roman Catholic 80.9%, Aglipayan 2%), Muslim 5%, Evangelical 2.8%, Iglesia ni Kristo 2.3%, other Christian 4.5%, other 1.8%, unspecified 0.6%, none 0.1% (2000 census)","Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog, Cebuano, Ilocano, Hiligaynon or Ilonggo, Bicol, Waray, Pampango, and Pangasinan","104,256,076 (July 2017)"
Taiwan,Taiwan,Asia,93/100 (2018),semi-presidential republic,Taipei,"small deposits of coal, natural gas, limestone, marble, asbestos, arable land",eastern two-thirds mostly rugged mountains; flat to gently rolling plains in west,tropical; marine; rainy season during southwest monsoon (June to August); persistent and extensive cloudiness all year,80.2 years(2017),"4.3 deaths/1,000 live births(2017)",No Data,"$49,800 2017 EST.",29.15 New Taiwan Dollars to 1 U.S. Dollar (March 2018),$2.33 vs $5.28 US,1.9% (2017),no data,61 and 31st/176 (2016),76.6 overall (2018),98.5% (2014),"Buddhist 35.3%, Taoist 33.2%, Christian 3.9%, Taoist or Confucian folk religionist approximately 10%, none or unspecified 18.2% (2005 est.)","Mandarin Chinese (official), Taiwanese (Min Nan), Hakka dialects","23,508,428 (July 2017)"
Japan,Japan,Asia,96/100 (2018),parliamentary constitutional monarchy,Tokyo,"negligible mineral resources, fish",mostly rugged and mountainous,varies from tropical in south to cool temperate in north,85.3 years(2017),"2 deaths/1,000 live births(2017)","1- Stroke, 2- Influenza and Pneumonia, 3- Coronary Heart Disease, 4- Lung Cancers, 5- Suicide (2017)","$42,700 2017 EST.",106.07 Yen to 1 U.S. Dollar (March 2018),$3.43 vs $5.28 US,2.3% (2017),no data,72 and 20th/176 (2016),72.3 overall (2018),No Data,"Shintoism 79.2%, Buddhism 66.8%, Christianity 1.5%, other 7.1%. note: total adherents exceeds 100% because many people practice both Shintoism and Buddhism (2012 est.).",Japanese,"126,451,398 (July 2017)"
South_Korea,South_Korea,Asia,84/100 (2018),presidential republic,"Seoul; note - Sejong, located some 120 km (75 mi) south of Seoul, is being developed as a new capital","coal, tungsten, graphite, molybdenum, lead, hydropower potential",mostly hills and mountains; wide coastal plains in west and south,"temperate, with rainfall heavier in summer than winter; cold winters",82.5 years(2017),"3 deaths/1,000 live births(2017)","1- Stroke, 2- Suicide, 3- Coronary Heart Disease, 4- Lung Cancers, 5- Liver Cancer (2017)","$39,400 2017 EST.","1,069.57 South Korean Won to 1 U.S. Dollar (March 2018)",$4.12 vs $5.28 US,3% (2017),31.3% (2007),53 and 52nd/176 (2016),73.8 overall (2018),No Data,"Protestant 19.7%, Buddhist 15.5%, Catholic 7.9%, none 56.9%. note: many people practice Confucianism, regardless of their religion or not having a religious affiliation (2015 est.)
","Korean, English (widely taught in junior high and high school)","51,181,299 (July 2017)"
Bhutan,Bhutan,Asia,55/100 (2018),constitutional monarchy,Thimphu,"timber, hydropower, gypsum, calcium carbonate",mostly mountainous with some fertile valleys and savanna,varies; tropical in southern plains; cool winters and hot summers in central valleys; severe winters and cool summers in Himalayas,70.6 years(2017),"32.1 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Lung Disease, 3- Stroke, 4- Influenza and Pneumonia, 5- Poisonings (2017)","$8,700 2017 EST.",65.01 Ngultrum  to 1 U.S. Dollar (March 2018),No Data,11.2% (2017),38.7% (2012),65 and 27th/176 (2016),61.8 overall (2018),64.9%  (2015 est.),"Lamaistic Buddhist 75.3%, Indian- and Nepalese-influenced Hinduism 22.1%, other 2.6% (2005 est.)","Sharchhopka 28%, Dzongkha (official) 24%, Lhotshamkha 22%, other 26% (includes foreign languages) (2005 est.)","758,288 (July 2017)"
North_Korea,North_Korea,Asia,3/100 (2018),"single-party state; official state ideology of ""Juche"" or ""national self-reliance",Pyongyang,"coal, iron ore, limestone, magnesite, graphite, copper, zinc, lead, precious metals, hydropower","mostly hills and mountains separated by deep, narrow valleys; wide coastal plains in west, discontinuous in east","temperate, with rainfall concentrated in summer; long, bitter winters",70.7 years(2017),"22.1 deaths/1,000 live births(2017)","1- Stroke, 2- Lung Disease, 3- Coronary Heart Disease, 4- Influenza and Pneumonia, 5- Lung Cancers (2017)",No Data,899.91 North Korean Won to 1 U.S. Dollar (March 2018),No Data,no data,no data,12 and 174th/176 (2016),5.8 overall (2018),100% (2015),"traditionally Buddhist and Confucianist, some Christian and syncretic Chondogyo (Religion of the Heavenly Way). note: autonomous religious activities now almost nonexistent; government-sponsored religious groups exist to provide illusion of religious freedom.",Korean,"25,248,140 (July 2017)"
Mongolia,Mongolia,Asia,85/100 (2018),semi-presidential republic,Ulaanbaatar,"oil, coal, copper, molybdenum, tungsten, phosphates, tin, nickel, zinc, fluorspar, gold, silver, iron","vast semidesert and desert plains, grassy steppe, mountains in west and southwest; Gobi Desert in south-central",desert; continental (large daily and seasonal temperature ranges),69.9 years(2017),"21.1 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Liver Cancer, 4- Liver Disease, 5- Lung Disease (2017) ","$12,600 2017 EST.","2,392.35 Togrog/Tugriks to 1 U.S. Dollar (March 2018)",No Data,2.5% (2017),32% (2015),38 and 87th/176 (2016),55.7 overall (2018),98.4% (2015),"Buddhist 53%, Muslim 3%, Shamanist 2.9%, Christian 2.2%, other 0.4%, none 38.6% (2010 est.)","Mongolian 90% (official) (Khalkha dialect is predominant), Turkic, Russian (1999)","3,068,243 note: Mongolia is one of the least densely populated countries in the world (2 people per sq km); twice as many ethnic Mongols (some 6 million) live in Inner Mongolia (Nei Mongol) in neighboring China (July 2017)"
Vietnam,Vietnam,Asia,20/100 (2018),communist state,Hanoi (Ha Noi),"phosphates, coal, manganese, rare earth elements, bauxite, chromate, offshore oil and gas deposits, timber, hydropower, arable land","low, flat delta in south and north; central highlands; hilly, mountainous in far north and northwest","tropical in south; monsoonal in north with hot, rainy season (May to September) and warm, dry season (October to March)",73.7 years(2017),"17.3 deaths/1,000 live births(2017)","1- Stroke, 2- Coronary Heart Disease, 3- Lung Disease, 4- Influenza and Pneumonia, 5- Liver Cancer (2017)","$6,900 2017 EST.","22,770.00 Dong to 1 U.S. Dollar (March 2018)",$2.86 vs $5.28 US,6.3% (2017),34.8% (2014),33 and 113th/176 (2016),53.1 overall (2018),94.5% 92.8% (2015),"Buddhist 7.9%, Catholic 6.6%, Hoa Hao 1.7%, Cao Dai 0.9%, Protestant 0.9%, Muslim 0.1%, none 81.8% (2009)","Vietnamese (official), English (increasingly favored as a second language), some French, Chinese, and Khmer, mountain area languages (Mon-Khmer and Malayo-Polynesian)","96,160,163 (July 2017)"
Laos,Laos,Asia,12/100 (2018),communist state,Vientiane (Viangchan),"timber, hydropower, gypsum, tin, gold, gemstones",mostly rugged mountains; some plains and plateaus,tropical monsoon; rainy season (May to November); dry season (December to April),64.6 years(2017),"49.9 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Influenza and Pneumonia, 4- Dengue, 5- Liver Cancer (2017)","$7,400 2017 EST.","8,286.27 Kips to 1 U.S. Dollar (March 2018)",No Data,No Data,37.9% (2012),30 and 123rd/176 (2016),53.6 overall (2018),79.9% (2015),"Buddhist 64.7%, Christian 1.7%, none 31.4%, other/not stated 2.1% (2015 est.)","Lao (official), French, English, various ethnic languages","7,126,706 (July 2017)"
Thailand,Thailand,Asia,31/100 (2018),constitutional monarchy; note - interim military-affiliated government since May 2014,Bangkok,"tin, rubber, natural gas, tungsten, tantalum, timber, lead, fish, gypsum, lignite, fluorite, arable land",central plain; Khorat Plateau in the east; mountains elsewhere,"tropical; rainy, warm, cloudy southwest monsoon (mid-May to September); dry, cool northeast monsoon (November to mid-March); southern isthmus always hot and humid",74.9 years(2017),"9.2 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Influenza and Pneumonia, 4- Road Traffic Accidents, 5- Lung Disease (2017)","$17,800 2017 EST.",31.18  Baht to 1 U.S. Dollar (March 2018),$3.72 vs $5.28 US,3.5% (2017),37.8% (2013),35 and 101st/176 (2016),67.1 overall (2018),92.9% (2015),"Buddhist 94.6%, Muslim 4.3%, Christian 1%, other <.1%, none <.1% (2015 est.)","Thai (official) 90.7%, Burmese 1.3%, other 8%. note: English is a secondary language of the elite (2010)","68,414,135 note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017)"
Cambodia,Cambodia,Asia,30/100 (2018),parliamentary constitutional monarchy,Phnom Penh,"oil and gas, timber, gemstones, iron ore, manganese, phosphates, hydropower potential, arable land","mostly low, flat plains; mountains in southwest and north","tropical; rainy, monsoon season (May to November); dry season (December to April); little seasonal temperature variation",64.9 years(2017),"47.4 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Tuberculosis, 3- Stroke, 4- Influenza and Pneumonia, 5- HIV/AIDS (2017)","$4,000 2017 EST.","3,999.00 Riels to 1 U.S. Dollar (March 2018)",No Data,6.8% (2017),30.8% (2012),21 and 156th/ 176 (2016),58.7 overall (2018),77.2% (2015),"Buddhist (official) 96.9%, Muslim 1.9%, Christian 0.4%, other 0.8% (2008 est.)","Khmer (official) 96.3%, other 3.7% (2008)","16,204,486 note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017)"
Argentina,Argentina,South America,83/100 (2018),presidential republic,Buenos Aires,"fertile plains of the pampas, lead, zinc, tin, copper, iron ore, manganese, petroleum, uranium, arable land","rich plains of the Pampas in northern half, flat to rolling plateau of Patagonia in south, rugged Andes along western border",mostly temperate; arid in southeast; subantarctic in southwest,77.3 years(2017),"9.8 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Influenza and Pneumonia, 4- Breast Cancer, 5- Lung Cancers","$20,700 2017 EST.",20.33 Argentine Pesos to 1 U.S. Dollar (March 2018),$3.96 vs $5.28 US,2.5% (2017),42.7% (2014),36 and 95th/176 (2016),52.3 overall (2018),98.1% (2015),"nominally Roman Catholic 92% (less than 20% practicing), Protestant 2%, Jewish 2%, other 4%","Spanish (official), Italian, English, German, French, indigenous (Mapudungun, Quechua)","44,293,293 (July 2017)"
Brazil,Brazil,South America,78/100 (2018),federal presidential republic,Brasilia,"bauxite, gold, iron ore, manganese, nickel, phosphates, platinum, tin, rare earth elements, uranium, petroleum, hydropower, timber","mostly flat to rolling lowlands in north; some plains, hills, mountains, and narrow coastal belt","mostly tropical, but temperate in south",74 years(2017),"17.5 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Influenza and Pneumonia, 4- Diabetes Mellitus, 5- Hypertension (2017)","$15,500 2017 EST.",3.29 Reals to 1 U.S. Dollar (March 2018),$5.11 vs $5.28 US,1.5% (2017),51.3% (2015),40 and 79th/176 (2016),51.4 overall (2018),92.6% (2015),"Roman Catholic 64.6%, other Catholic 0.4%, Protestant 22.2% (includes Adventist 6.5%, Assembly of God 2.0%, Christian Congregation of Brazil 1.2%, Universal Kingdom of God 1.0%, other Protestant 11.5%), other Christian 0.7%, Spiritist 2.2%, other 1.4%, none 8%, unspecified 0.4% (2010 est.)","Portuguese (official and most widely spoken language). note: less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages.","207,353,391 (July 2017)"
Bolivia,Bolivia,South America,67/100 (2018),presidential republic,La Paz (administrative capital); Sucre (constitutional [legislative and judicial] capital),"tin, natural gas, petroleum, zinc, tungsten, antimony, silver, iron, lead, gold, timber, hydropower","rugged Andes Mountains with a highland plateau (Altiplano), hills, lowland plains of the Amazon Basin",varies with altitude; humid and tropical to cold and semiarid,69.5 years(2017),"35.3 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Influenza and Pneumonia, 4- Diabetes Mellitus, 5- Kidney Disease (2017)","$7,500 2017 EST.",6.91 Bolivianos to 1 U.S. Dollar (March 2018),No Data,4% (2017),45.8% (2015),33 and 113th/176 (2016),44.1 overall (2018),92.5%  (2015),"Roman Catholic 76.8%, Evangelical and Pentecostal 8.1%, Protestant 7.9%, other 1.7%, none 5.5% (2012 est.)","Spanish (official) 60.7%, Quechua (official) 21.2%, Aymara (official) 14.6%, foreign languages 2.4%, Guarani (official) 0.6%, other native languages 0.4%, none 0.1%. note: Bolivia's 2009 constitution designates Spanish and all indigenous languages as official; 36 indigenous languages are specified, including a few that are extinct (2001 est.)","11,138,234 (July 2017)"
Uruguay,Uruguay,South America,98/100 (2018),presidential republic,Montevideo,"arable land, hydropower, minor minerals, fish",mostly rolling plains and low hills; fertile coastal lowland,warm temperate; freezing temperatures almost unknown,77.4 years(2017),"8.3 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Prostate Cancer, 4- Lung Cancers, 5- Breast Cancer (2017)","$22,400 2017 EST.",28.31 Uruguayan Pesos to 1 U.S. Dollar (March 2018),$4.90 vs $5.28 US,3.1% (2017),41.7% (2015),71 and 21st/176 (2016),69.2 overall (2018),98.5% (2015),"Roman Catholic 47.1%, non-Catholic Christians 11.1%, nondenominational 23.2%, Jewish 0.3%, atheist or agnostic 17.2%, other 1.1% (2006 est.)","Spanish (official), Portunol, Brazilero (Portuguese-Spanish mix on the Brazilian frontier)","3,360,148 (July 2017)"
Paraguay,Paraguay,South America,64/100 (2018),presidential republic,Asuncion,"hydropower, timber, iron ore, manganese, limestone","grassy plains and wooded hills east of Rio Paraguay; Gran Chaco region west of Rio Paraguay mostly low, marshy plain near the river, and dry forest and thorny scrub elsewhere","subtropical to temperate; substantial rainfall in the eastern portions, becoming semiarid in the far west",77.4 years(2017),"18.7 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, Diabetes Mellitus, 4- Influenza and Pneumonia, 5- Road Traffic Accidents (2017)","$9,800 2017 EST.","5,516.05 Guarani to 1 U.S. Dollar (March 2018)",No Data,4% (2017) ,48% (2015),30 and 123rd/176 (2016),62.1 overall (2018),95.1%  (2015),"Roman Catholic 89.6%, Protestant 6.2%, other Christian 1.1%, other or unspecified 1.9%, none 1.1% (2002 census)","Spanish (official), Guarani (official)","6,943,739 (July 2017)"
Chile,Chile,South America,94/100 (2018),presidential republic,Santiago; note - Valparaiso is the seat of the national legislature,"copper, timber, iron ore, nitrates, precious metals, molybdenum, hydropower","low coastal mountains, fertile central valley, rugged Andes in east",temperate; desert in north; Mediterranean in central region; cool and damp in south,78.9 years(2017),"6.6 deaths/1,000 live births(2017)","1- Stroke, 2- Coronary Heart Disease, 3- Prostate Cancer, 4- Alzheimers/Dementia, 5- Influenza and Pneumonia (2017)","$24,600 2017 EST.",606.00 Chilean Pesos to 1 U.S. Dollar (March 2018),$4.29 vs $5.28 US,2.5% (2017),47.7% (2015),66 and 24th/176 (2016),75.2 overall (2018),97.5%  (2015),"Roman Catholic 66.7%, Evangelical or Protestant 16.4%, Jehovah's Witness 1%, other 3.4%, none 11.5%, unspecified 1.1% (2012 est.)","Spanish 99.5% (official), English 10.2%, indigenous 1% (includes Mapudungun, Aymara, Quechua, Rapa Nui), other 2.3%, unspecified 0.2%. note: shares sum to more than 100% because some respondents gave more than one answer on the census (2012 est.)","17,789,267 (July 2017)"
Peru,Peru,South America,73/100 (2018),presidential republic,Lima,"copper, silver, gold, petroleum, timber, fish, iron ore, coal, phosphate, potash, hydropower, natural gas","western coastal plain (costa), high and rugged Andes in center (sierra), eastern lowland jungle of Amazon Basin (selva)",varies from tropical in east to dry desert in west; temperate to frigid in Andes,74 years(2017),"18.4 deaths/1,000 live births(2017)","1- Influenza and Pneumonia, 2- Coronary Heart Disease, 3- Stroke, 4- Prostate Cancer, 5- Liver Disease (2017)","$13,300 2017 EST.",3.26 Nuevo Sol to 1 U.S. Dollar (March 2018),$3.27 vs $5.28 US,3.8% (2017),44.4% (2015),35 and 101st/176 (2016),68.7 overall (2018),94.2% (2016),"Roman Catholic 81.3%, Evangelical 12.5%, other 3.3%, none 2.9% (2007 est.)","Spanish (official) 84.1%, Quechua (official) 13%, Aymara (official) 1.7%, Ashaninka 0.3%, other native languages (includes a large number of minor Amazonian languages) 0.7%, other (includes foreign languages and sign language) 0.2% (2007 est.)","31,036,656 (July 2017)"
French_Guiana,French_Guiana,South America,90/100 (2018),No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,no data,no data,69 and 23rd/176 (2016),No Data,No Data,No Data,No Data,No Data
Suriname,Suriname,South America,78/100 (2018),presidential republic,Paramaribo,"timber, hydropower, fish, kaolin, shrimp, bauxite, gold, and small amounts of nickel, copper, platinum, iron ore",mostly rolling hills; narrow coastal plain with swamps,tropical; moderated by trade winds,72.5 years(2017),"24.5 deaths/1,000 live births(2017)","1- Stroke, 2- Coronary Heart Disease, 3- Diabetes Mellitus, 4- Suicide, 5- Hypertension (2017)","$13,900 2017 EST.",7.47 Surinamese Dollars to 1 U.S. Dollar (March 2018),No Data,1.2% (2017),57.6% (1999),45 and 64th/176 (2016),48.1 overall (2018),95.6% (2015),"Protestant 23.6% (includes Evangelical 11.2%, Moravian 11.2%, Reformed .7%, Lutheran .5%), Hindu 22.3%, Roman Catholic 21.6%, Muslim 13.8%, other Christian 3.2%, Winti 1.8%, Jehovah's Witness 1.2%, other 1.7%, none 7.5%, unspecified 3.2% (2012 est.)","Dutch (official), English (widely spoken), Sranang Tongo (Surinamese, sometimes called Taki-Taki, is the native language of Creoles and much of the younger population and is lingua franca among others), Caribbean Hindustani (a dialect of Hindi), Javanese","591,919 (July 2017)"
Guyana,Guyana,South America,74/100 (2018),parliamentary republic,Georgetown,"bauxite, gold, diamonds, hardwood timber, shrimp, fish",mostly rolling highlands; low coastal plain; savanna in south,"tropical; hot, humid, moderated by northeast trade winds; two rainy seasons (May to August, November to January)",68.6 years(2017),"30.4 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Diabetes Mellitus, 4- Prostate Cancer, 5- Hypertension (2017)","$8,300 2017 EST.",206.82 Guyanaese Dollar to 1 U.S. Dollar (March 2018),No Data,3.6% (2017),44.5% (1998),34 and 108th/176 (2016),58.7 overall (2018),88.5% (2015),"Protestant 34.8% (Pentecostal 22.8%, Seventh Day Adventist 5.4%, Anglican 5.2%, Methodist 1.4%), Hindu 24.8%, Roman Catholic 7.1%, Muslim 6.8%, Jehovah's Witness 1.3%, Rastafarian 0.5%, other Christian 20.8%, other 0.9%, none 3.1% (2012 est.)","English (official), Guyanese Creole, Amerindian languages (including Caribbean and Arawak languages), Indian languages (including Caribbean Hindustani, a dialect of Hindi), Chinese (2014 est.)","737,718 note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017)"
Venezuela,Venezuela,South America,26/100 (2018),federal presidential republic,Caracas,"petroleum, natural gas, iron ore, gold, bauxite, other minerals, hydropower, diamonds",Andes Mountains and Maracaibo Lowlands in northwest; central plains (llanos); Guiana Highlands in southeast,"tropical; hot, humid; more moderate in highlands",76 years(2017),"12.2 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Violence, 4- Diabetes Mellitus, 5- Road Traffic Accidents (2017)","$12,400 2017 EST.","36,650.00 Venezuelan Bolívar to 1 U.S. Dollar (March 2018)",No Data,-6% (2017),46.9% (2006),17 and 166th/176 (2016),25.2 overall (2018),97.1% (2016),"nominally Roman Catholic 96%, Protestant 2%, other 2%","Spanish (official), numerous indigenous dialects","31,304,016 (July 2017)"
Columbia,Columbia,South America,65/100 (2018),presidential republic,Bogota,"petroleum, natural gas, coal, iron ore, nickel, gold, copper, emeralds, hydropower","flat coastal lowlands, central highlands, high Andes Mountains, eastern lowland plains (Llanos)",tropical along coast and eastern plains; cooler in highlands,75.9 years(2017),"13.6 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Violence, 3- Stroke, 4- Lung Disease, 5- Influenza and Pneumonia (2017)","$14,500 2017 EST.","2,849.50 Colombian Peso to 1 U.S. Dollar (March 2018)",$3.83 vs $5.28 US,2.8% (2017),51.3% (2015),37 and 90th/176 (2016),68.9 overall (2018),94.2% (2015),"Roman Catholic 79%, Protestant 14% (includes Pentecostal 6%, mainline Protestant 2%, other 6%), other 2%, unspecified 5% (2014 est.)",Spanish (official),"47,698,524 (July 2017)"
Ecuador,Ecuador,South America,60/100 (2018),presidential republic,Quito,"petroleum, fish, timber, hydropower","coastal plain (costa), inter-Andean central highlands (sierra), and flat to rolling eastern jungle (oriente)","tropical along coast, becoming cooler inland at higher elevations; tropical in Amazonian jungle lowlands",77 years(2017),"16.4 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Influenza and Pneumonia, 4- Road Traffic Accidents, 5- Kidney Disease (2017)","$11,200 2017 EST.",The US dollar became Ecuador's currency in 2001,No Data,0.6% (2017),46.5% (2015),31 and 120th/176 (2016),48.5 overall (2018),94.4% (2016),"Roman Catholic 74%, Evangelical 10.4%, Jehovah's Witness 1.2%, other 6.4% (includes Mormon Buddhist, Jewish, Spiritualist, Muslim, Hindu, indigenous religions, African American religions, Pentecostal), atheist 7.9%, agnostic 0.1%. note: data represent persons at least 16 years of age from five Ecuadoran cities (2012 est.)","Spanish (Castilian) 93% (official), Quechua 4.1%, other indigenous 0.7%, foreign 2.2%. note: (Quechua and Shuar are official languages of intercultural relations; other indigenous languages are in official use by indigenous peoples in the areas they inhabit) (2010)","16,290,913 (July 2017)"
Panama,Panama,South America,83/100 (2018),presidential republic,Panama City,"copper, mahogany forests, shrimp, hydropower","interior mostly steep, rugged mountains with dissected, upland plains; coastal plains with rolling hills","tropical maritime; hot, humid, cloudy; prolonged rainy season (May to January), short dry season (January to May)",78.8 years(2017),"9.9 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Violence, 4- Diabetes Mellitus, 5- Influenza and Pneumonia (2017)","$24,300 2017 EST.",1 Panamanian Balboa to 1 U.S. Dollar (March 2018),No Data,5.6% (2017),51% (2015),38 and 87th/176 (2016),67.0 overall (2018),95%  (2015),"Roman Catholic 85%, Protestant 15%","Spanish (official), indigenous languages (including Ngabere (or Guaymi), Buglere, Kuna, Embera, Wounaan, Naso (or Teribe), and Bri Bri), Panamanian English Creole (similar to Jamaican English Creole; a mixture of English and Spanish with elements of Ngabere; also known as Guari Guari and Colon Creole), English, Chinese (Yue and Hakka), Arabic, French Creole, other (Yiddish, Hebrew, Korean, Japanese). note: many Panamanians are bilingual.","3,753,142 (July 2017)"
Costa_Rica,Costa_Rica,South America,91/100 (2018),presidential republic,San Jose,hydropower,"coastal plains separated by rugged mountains including over 100 volcanic cones, of which several are major active volcanoes",tropical and subtropical; dry season (December to April); rainy season (May to November); cooler in highlands,78.7 years(2017),"8 deaths/1,000 live births(2017)","1- Coronary Heart Disease, 2- Stroke, 3- Prostate Cancer, 4- Lung Disease, 5- Hypertension (2017)","$17,200 2017 EST.",569.26 Colónes to 1 U.S. Dollar (March 2018),$4.03 vs $5.28 US,3.8% (2017),48.2% (2015),58 and 41st/176 (2016),65.6 overall (2018),97.8% (2015 est),"Roman Catholic 76.3%, Evangelical 13.7%, Jehovah's Witness 1.3%, other Protestant 0.7%, other 4.8%, none 3.2%","Spanish (official), English","4,930,258 (July 2017)"
